Mandioca,brown,VEGETABLE,low,low,medium,medium,high,high,high,high,high,medium,medium,low
Mandioquinha,brown,VEGETABLE,low,low,low,medium,high,high,high,high,medium,medium,low,low
Maxixe,green,VEGETABLE,high,high,medium,medium,low,low,low,low,high,high,high,high
Miyoga,purple,VEGETABLE,high,low,low,low,low,low,low,low,low,low,low,high
Nigagori,green,VEGETABLE,medium,high,high,medium,low,low,low,low,low,low,low,low
Pepino Caipira,green,VEGETABLE,medium,medium,high,high,medium,low,low,low,low,medium,medium,low
Pepino Comum,green,VEGETABLE,high,medium,high,high,low,low,medium,low,low,medium,medium,low
Pepino Japonês,green,VEGETABLE,high,high,medium,medium,medium,low,low,low,low,medium,high,medium
Pimenta Cambuci,green,VEGETABLE,high,high,medium,medium,low,medium,low,low,medium,high,high,medium
Pimenta Dedo de Moça,red,VEGETABLE,low,low,low,low,medium,medium,medium,high,medium,high,medium,medium
Pimenta Malagueta/Malaguetão,red,VEGETABLE,low,low,low,low,low,medium,high,high,high,medium,medium,medium
Pimenta Verde,green,VEGETABLE,medium,low,low,low,medium,medium,high,medium,low,low,medium,low
Pimenta Verde Americana,green,VEGETABLE,high,low,medium,low,low,low,low,low,low,medium,medium,high
Pimentão Amarelo,yellow,VEGETABLE,medium,low,low,low,low,low,low,low,medium,low,medium,high
Pimentão Verde,green,VEGETABLE,high,low,low,medium,medium,low,low,low,low,medium,medium,high
Pimentão Vermelho,red,VEGETABLE,medium,low,low,low,low,low,low,low,low,low,low,high
Quiabo,green,VEGETABLE,high,high,high,medium,low,low,low,low,medium,medium,medium,medium
Taquenoco,green,VEGETABLE,low,low,low,low,low,low,low,low,low,medium,high,medium
Tomate Caqui,red,VEGETABLE,high,medium,low,medium,medium,high,high,low,medium,medium,medium,medium
Tomate Carmem,red,VEGETABLE,high,medium,low,low,medium,medium,low,low,low,low,high,medium
Tomate Cereja,red,VEGETABLE,high,high,medium,low,low,low,low,low,low,medium,high,high
Tomate Debora,red,VEGETABLE,high,high,medium,low,medium,medium,medium,low,low,medium,high,high
Tomate Holandês,red,VEGETABLE,high,low,low,low,low,low,low,low,medium,medium,high,high
Tomate Italiano - Pizzadoro,red,VEGETABLE,high,medium,medium,low,medium,medium,low,low,low,low,high,high
Tomate Rasteiro,red,VEGETABLE,low,low,low,low,low,medium,high,high,high,high,low,low
Tomate Sweet Grape,red,VEGETABLE,medium,low,low,low,low,low,medium,medium,medium,high,medium,high
Ume,green,VEGETABLE,low,low,low,low,high,medium,low,low,high,medium,low,low
Vagem Macarrão,green,VEGETABLE,high,low,low,low,medium,low,low,medium,low,low,high,high
Vagem Manteiga,green,VEGETABLE,medium,low,low,medium,medium,low,low,high,medium,high,high,high
Vagem Metro,green,VEGETABLE,high,high,medium,high,medium,medium,low,low,low,low,low,medium
Acelga Chinesa,green,VEGETABLE,low,low,low,low,medium,low,medium,high,medium,medium,medium,medium
Acelga,green,VEGETABLE,medium,high,high,high,medium,low,low,low,low,low,medium,medium
Agrião,green,VEGETABLE,low,high,high,high,medium,medium,low,low,low,low,low,low
Agrião Hidropônico,green,VEGETABLE,medium,high,high,high,medium,medium,low,low,low,low,low,low
Alecrim,green,VEGETABLE,low,low,low,low,medium,low,high,medium,medium,medium,low,medium
Alface Americana,green,VEGETABLE,medium,high,medium,medium,low,low,low,low,low,low,medium,high
Alface Crespa,green,VEGETABLE,medium,high,high,high,medium,medium,low,low,low,low,medium,low
Alface Crespa Hidropônica,green,VEGETABLE,medium,high,high,high,medium,medium,low,low,low,low,medium,medium
Alface Lisa,green,VEGETABLE,high,high,medium,medium,medium,low,low,low,medium,medium,medium,low
Alface Lisa Hidropônica,green,VEGETABLE,low,low,low,low,medium,low,medium,high,medium,medium,medium,low
Alface Mimosa,green,VEGETABLE,high,high,medium,low,medium,low,low,low,low,medium,low,low
Alface Mimosa Hidropônica,green,VEGETABLE,medium,low,low,low,medium,low,medium,high,medium,medium,medium,low
Alface Romana,green,VEGETABLE,high,low,low,low,medium,low,medium,high,medium,medium,medium,low
Alface Romana Hidropônica,green,VEGETABLE,low,low,low,low,low,medium,low,low,high,medium,medium,low
Alfavaca,green,VEGETABLE,medium,medium,low,low,medium,high,high,high,medium,medium,medium,medium
Alho Porro,green,VEGETABLE,low,low,medium,medium,high,medium,high,medium,low,medium,low,high
Almeirão,green,VEGETABLE,high,high,high,high,medium,low,low,medium,low,medium,medium,low
Almeirão Hidropônico,green,VEGETABLE,low,low,medium,low,medium,medium,medium,high,high,high,high,high
Almeirão Pão de Açucar,green,VEGETABLE,medium,high,high,medium,high,high,low,low,low,medium,high,low
Aspargo,green,VEGETABLE,medium,low,low,medium,medium,medium,medium,low,low,low,high,medium
Beterraba com Folhas,purple,VEGETABLE,medium,low,low,low,low,low,medium,high,high,high,high,medium
Brócolos Ninja,green,VEGETABLE,low,low,low,low,low,low,medium,high,high,high,medium,medium
Brócolos Ramoso,green,VEGETABLE,low,low,low,low,medium,high,high,high,medium,low,low,low
Broto de Alfafa,green,VEGETABLE,medium,medium,low,low,medium,high,high,high,high,medium,high,medium
Capim Cidreira,green,VEGETABLE,low,low,low,low,low,low,medium,high,high,medium,low,low
Catalonha,green,VEGETABLE,medium,medium,high,high,high,high,high,high,high,medium,medium,low
Cebolete,green,VEGETABLE,low,low,low,low,low,low,low,low,medium,high,high,high
Cebolinha,green,VEGETABLE,medium,low,high,high,high,medium,high,high,medium,medium,medium,low
Cenoura com Folhas,orange,VEGETABLE,medium,low,medium,low,medium,low,high,medium,high,high,high,medium
Chicória,green,VEGETABLE,high,low,medium,low,medium,low,low,high,medium,medium,medium,low
Coentro,green,VEGETABLE,low,low,low,low,low,medium,high,high,high,low,high,high
Cogumelo Eryngui,brown,VEGETABLE,low,low,low,low,low,medium,high,medium,medium,medium,medium,medium
Cogumelo Hiratake,brown,VEGETABLE,medium,low,low,medium,low,low,medium,medium,medium,medium,low,high
Cogumelo Paris,brown,VEGETABLE,medium,low,low,low,low,medium,medium,low,low,low,high,high
Cogumelo Porto Belo,brown,VEGETABLE,low,low,low,low,medium,low,low,medium,high,medium,high,high
Cogumelo Shimeji,brown,VEGETABLE,medium,low,medium,low,low,low,low,medium,high,high,medium,medium
Cogumelo Shitake,brown,VEGETABLE,medium,medium,medium,low,medium,low,low,medium,medium,medium,high,high
Couve Manteiga,green,VEGETABLE,low,medium,low,low,medium,medium,high,high,high,medium,medium,low
Couve de Bruxelas,green,VEGETABLE,medium,low,low,low,low,medium,medium,high,high,high,high,medium
Couve-Flor,green,VEGETABLE,low,low,low,low,medium,low,medium,high,high,medium,medium,low
Endívia,green,VEGETABLE,high,medium,medium,medium,low,medium,medium,medium,low,low,low,high
Endro,green,VEGETABLE,low,low,medium,high,low,medium,medium,medium,high,high,medium,high
Erva Doce,green,VEGETABLE,medium,low,low,low,medium,low,low,medium,medium,medium,medium,high
Escarola,green,VEGETABLE,high,high,high,medium,high,medium,medium,high,high,high,medium,low
Escarola Hidropônica,green,VEGETABLE,low,low,low,low,low,low,low,high,medium,high,high,high
Espinafre,green,VEGETABLE,high,high,medium,medium,high,medium,high,high,high,high,high,low
Espinafre Hidropônico,green,VEGETABLE,high,medium,medium,medium,high,low,high,high,high,high,medium,medium
Estragão,green,VEGETABLE,low,medium,medium,medium,medium,low,low,low,medium,high,high,high
Gengibre com Folhas,brown,VEGETABLE,high,high,high,medium,medium,low,low,low,low,low,low,high
Gobô,brown,VEGETABLE,low,low,low,low,low,low,low,medium,medium,medium,medium,high
Hana Nira,green,VEGETABLE,high,high,high,low,low,low,low,low,low,high,medium,medium
Hortelã,green,VEGETABLE,high,medium,high,high,high,low,low,low,low,low,low,low
Louro,green,VEGETABLE,medium,medium,low,medium,medium,low,low,low,medium,high,high,low
Manjericão,green,VEGETABLE,low,low,low,low,low,low,high,high,high,high,medium,medium
Manjerona,green,VEGETABLE,medium,low,medium,medium,medium,low,medium,high,high,high,medium,high
Milho Verde,yellow,VEGETABLE,low,low,low,low,medium,high,medium,low,low,low,low,low
Mostarda,green,VEGETABLE,low,medium,high,high,medium,low,medium,medium,medium,high,high,medium
Mostarda Hidropônica,green,VEGETABLE,low,low,medium,low,low,low,medium,high,medium,high,high,high
Moyashi,green,VEGETABLE,medium,high,medium,low,medium,low,low,medium,high,high,medium,medium
Nabo,green,VEGETABLE,high,low,medium,low,medium,low,low,medium,high,high,high,medium
Orégano,green,VEGETABLE,high,low,medium,medium,medium,low,medium,medium,medium,medium,high,high
Palmito Pupunha,green,VEGETABLE,high,low,low,low,low,low,medium,low,low,low,medium,medium
Rabanete,purple,VEGETABLE,low,low,medium,medium,low,low,high,high,medium,medium,high,medium
Radicchio,purple,VEGETABLE,high,medium,high,medium,low,low,low,low,medium,medium,medium,high
Repolho Verde Liso,green,VEGETABLE,medium,medium,high,medium,medium,low,medium,medium,medium,medium,low,low
Repolho Roxo,purple,VEGETABLE,high,medium,high,high,high,low,medium,medium,medium,high,high,high
Rúcula,green,VEGETABLE,high,high,high,low,low,low,medium,low,low,low,low,low
Rúcula Hidropônica,green,VEGETABLE,medium,medium,medium,low,low,low,low,low,medium,high,high,medium
Salsa,green,VEGETABLE,medium,low,medium,low,low,low,medium,medium,low,medium,medium,high
Salsão Branco/Verde,green,VEGETABLE,medium,medium,high,medium,medium,medium,medium,low,low,low,low,high
Sálvia,green,VEGETABLE,medium,low,low,low,medium,low,medium,medium,medium,high,high,high
Tomilho,green,VEGETABLE,low,low,low,low,low,low,low,medium,low,high,high,high
Alho Nacional,purple,VEGETABLE,medium,low,low,low,low,low,medium,high,high,high,high,medium
Amendoim com Casca,brown,VEGETABLE,low,low,low,medium,medium,high,medium,medium,medium,low,low,low
Amendoim sem Casca,brown,VEGETABLE,low,low,medium,low,high,low,high,high,high,medium,high,low
Batata Asterix,yellow,VEGETABLE,low,low,medium,high,high,medium,medium,medium,medium,low,medium,high
Batata Lavada,yellow,VEGETABLE,low,low,low,low,low,low,medium,medium,low,low,low,high
Cebola Nacional,brown,VEGETABLE,high,medium,medium,low,low,medium,high,high,high,high,high,high
Cebola Pérola,brown,VEGETABLE,medium,low,low,low,low,low,medium,medium,medium,medium,medium,high
Cebola Roxa,purple,VEGETABLE,high,high,high,medium,low,low,low,medium,low,low,medium,high
Coco Seco,brown,VEGETABLE,medium,low,medium,medium,low,low,high,medium,high,high,high,low
Pinhão,brown,VEGETABLE,low,low,low,medium,high,high,low,low,low,low,low,low
