name,color,type,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
Rambutã,red,FRUIT,medium,low,low,medium,medium,high,high,medium,low,low,low,medium
Romã,red,FRUIT,low,medium,low,low,low,low,low,low,medium,high,medium,low
Sapoti,brown,FRUIT,medium,low,low,low,low,low,low,medium,high,high,high,high
Seriguela,orange,FRUIT,medium,high,high,low,low,low,low,low,low,low,low,low
Tamarillo,red,FRUIT,medium,medium,low,low,low,low,low,medium,high,high,medium,medium
Tangerina Cravo,orange,FRUIT,low,medium,high,high,medium,medium,low,low,low,low,low,low
Tangerina Decopom,orange,FRUIT,low,low,low,low,low,medium,medium,high,high,high,high,low
Tangerina Murcote,orange,FRUIT,low,low,low,low,low,low,medium,high,high,high,high,medium
Tangerina Ole,orange,FRUIT,low,low,low,low,medium,high,high,medium,high,medium,low,low
Tangerina Poncã,orange,FRUIT,low,low,low,medium,high,high,high,medium,low,low,low,low
Uva Arra 15,purple,FRUIT,low,low,low,medium,high,high,high,medium,medium,medium,high,high
Uva Benitaka,purple,FRUIT,medium,medium,low,low,low,low,low,low,low,low,low,high
Uva Brasil,purple,FRUIT,high,high,medium,low,low,low,low,medium,low,low,low,medium
Uva Centenial,purple,FRUIT,high,low,low,low,low,low,low,low,low,low,low,medium
Uva Crinsom,purple,FRUIT,low,low,low,low,low,low,medium,medium,high,high,high,high
Uva Isabel,purple,FRUIT,medium,medium,low,low,medium,medium,low,medium,low,medium,high,high
Uva Isis,purple,FRUIT,low,low,low,low,high,high,high,high,medium,high,high,high
Uva Italia,purple,FRUIT,medium,medium,medium,low,low,low,low,low,low,low,low,high
Uva Melodia,purple,FRUIT,low,low,low,low,medium,low,medium,medium,low,medium,high,high
Uva Niagara,purple,FRUIT,medium,low,low,low,low,low,low,low,low,low,low,high
Uva Red Globe,purple,FRUIT,low,low,low,low,low,low,high,high,high,medium,medium,low
Uva Rubi,purple,FRUIT,medium,medium,high,medium,low,low,low,medium,low,low,low,medium
Uva Thompson,purple,FRUIT,medium,low,low,low,low,low,low,low,low,medium,high,high
Uva Vitoria,purple,FRUIT,medium,low,low,low,medium,medium,medium,medium,medium,medium,high,high
